t,px,py,pz,px_d,py_d,pz_d,vx,vy,vz,vx_d,vy_d,vz_d,psi,theta,phi,omega_1,omega_2,omega_3,omega_4,omega_5,omega_6,omega_cmd_1,omega_cmd_2,omega_cmd_3,omega_cmd_4,omega_cmd_5,omega_cmd_6,fc_x,fc_y,fc_z,Tc,int_x,int_y,int_z,fault
0.38000000000000017,-18.0,-18.0,2.8180399496179067,-18.0,-18.0,3.0,-1.2224507247358565e-16,-5.886679300377656e-18,-0.33218191912670475,0.0,0.0,0.0,2.9222619201258053e-18,-8.780855844866209e-17,1.1897686359816936e-17,774.987294211989,774.987294211989,774.987294211989,774.987294211989,774.9872942119888,774.9872942119888,771.2231256923596,771.2231256923596,771.2231256923596,771.2231256923595,771.2231256923594,771.2231256923594,3.3715295979782326e-16,1.4311211102209223e-17,13.025793900298975,13.025793900298975,0.0,0.0,-0.03422674144173708,0
0.3900000000000002,-18.0,-18.0,2.814775565690346,-18.0,-18.0,3.0,-1.319591416569213e-16,-7.38175107757599e-18,-0.3207352518544792,0.0,0.0,0.0,2.9314646830170394e-18,-9.073133931608305e-17,1.5446245991980877e-17,774.141052494298,774.141052494298,774.141052494298,774.141052494298,774.1410524942979,774.1410524942979,770.3188036767319,770.3188036767319,770.3188036767319,770.3188036767319,770.3188036767319,770.3188036767319,3.651678884773318e-16,1.7584563588251056e-17,12.995264198625133,12.995264198625133,0.0,0.0,-0.036046341945558016,0
0.4000000000000002,-18.0,-18.0,2.8116244384763527,-18.0,-18.0,3.0,-1.419399477473183e-16,-9.172844534865672e-18,-0.30953088590670264,0.0,0.0,0.0,2.9388791256212875e-18,-9.320832785239643e-17,1.712066159022844e-17,773.2871753459265,773.2871753459265,773.2871753459265,773.2871753459265,773.2871753459264,773.2871753459264,769.4304393182873,769.4304393182873,769.4304393182873,769.4304393182872,769.4304393182871,769.4304393182871,3.941855499701326e-16,2.205061030043682e-17,12.965308100794758,12.965308100794758,0.0,0.0,-0.03789858628865456,0
0.4100000000000002,-18.0,-18.0,2.808584137869671,-18.0,-18.0,3.0,-1.521480548348825e-16,-1.1071165889199045e-17,-0.29857003371670876,0.0,0.0,0.0,2.952474099171954e-18,-9.540993632367704e-17,1.7746503969466243e-17,772.4300065479847,772.4300065479847,772.4300065479847,772.4300065479847,772.4300065479846,772.4300065479846,768.5584030145081,768.5584030145081,768.5584030145081,768.558403014508,768.558403014508,768.558403014508,4.2400000229596757e-16,2.7400926698714244e-17,12.935936212688219,12.935936212688219,0.0,0.0,-0.03978234190389103,0
0.4200000000000002,-18.0,-18.0,2.805652227424921,-18.0,-18.0,3.0,-1.6255331476398132e-16,-1.2973421687049674e-17,-0.2878527865746403,0.0,0.0,0.0,2.9447790199433922e-18,-9.739132455866847e-17,1.7407582843117035e-17,771.5731480741466,771.5731480741466,771.5731480741466,771.5731480741466,771.5731480741465,771.5731480741465,767.7029461921293,767.7029461921293,767.7029461921293,767.7029461921293,767.7029461921293,767.7029461921293,4.54493443340978e-16,3.307155199744056e-17,12.907155117666445,12.907155117666445,0.0,0.0,-0.04169650052519432,0
0.4300000000000002,-18.0,-18.0,2.8028262745557058,-18.0,-18.0,3.0,-1.7313990740491941e-16,-1.4779136885492264e-17,-0.2773783116137098,0.0,0.0,0.0,2.946397627353808e-18,-9.924729752325477e-17,1.5808366705914693e-17,770.7195765453678,770.7195765453678,770.7195765453678,770.7195765453678,770.7195765453677,770.7195765453677,766.8642209201626,766.8642209201626,766.8642209201626,766.8642209201626,766.8642209201624,766.8642209201624,4.855758151739026e-16,3.875393018241789e-17,12.87896805987198,12.87896805987198,0.0,0.0,-0.043639978250945115,0
0.4400000000000002,-18.0,-18.0,2.800103858923314,-18.0,-18.0,3.0,-1.8389558073317114e-16,-1.6391556965482672e-17,-0.26714501758783693,0.0,0.0,0.0,2.944396637266885e-18,-1.0109835456213793e-16,1.430542493244926e-17,769.8717415785832,769.8717415785832,769.8717415785832,769.8717415785832,769.871741578583,769.871741578583,766.0422964785164,766.0422964785164,766.0422964785164,766.0422964785164,766.0422964785164,766.0422964785164,5.171998602387567e-16,4.414792433583611e-17,12.85137551987033,12.85137551987033,0.0,0.0,-0.045611715505388055,0
0.45000000000000023,-18.0,-18.0,2.7974825793031504,-18.0,-18.0,3.0,-1.9482396105208319e-16,-1.784620077340278e-17,-0.25715069429433585,0.0,0.0,0.0,2.9415683029324538e-18,-1.029062921552931e-16,1.2930085831436972e-17,769.0316488442863,769.0316488442863,769.0316488442863,769.0316488442863,769.0316488442862,769.0316488442862,765.2371733496561,765.2371733496564,765.2371733496564,765.2371733496564,765.2371733496561,765.2371733496561,5.493289795476622e-16,4.896451140993494e-17,12.82437569932816,12.82437569932816,0.0,0.0,-0.04761067691615492,0
0.46000000000000024,-18.0,-18.0,2.7949600591713413,-18.0,-18.0,3.0,-2.0591687912534522e-16,-1.9145190813303453e-17,-0.2473926297488422,0.0,0.0,0.0,2.944619290780401e-18,-1.0468012314999854e-16,1.1491254551304473e-17,768.2009302094874,768.2009302094875,768.2009302094875,768.2009302094875,768.2009302094874,768.2009302094874,764.4487950296548,764.4487950296549,764.4487950296549,764.448795029655,764.4487950296548,764.4487950296548,5.819740055170863e-16,5.330979254950472e-17,12.797964928868176,12.797964928868176,0.0,0.0,-0.049635851123123416,0
0.47000000000000025,-18.0,-18.0,2.7925339512161282,-18.0,-18.0,3.0,-2.171311195664643e-16,-2.0328394217185003e-17,-0.2378677085858778,0.0,0.0,0.0,2.738664478008089e-18,-1.055960081958137e-16,1.0554390663643082e-17,767.3809029726528,767.380902972653,767.380902972653,767.380902972653,767.3809029726528,767.3809029726528,763.6770579945118,763.6770579945119,763.6770579945119,763.677057994512,763.6770579945118,763.6770579945118,6.151105351775388e-16,5.719010805364178e-17,12.772138011066648,12.772138011066648,0.0,0.0,-0.05168625053141,0
